NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010827,0.2036,0.2036,0.1972,0.1972,1634,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010828,0.1988,0.2028,0.1988,0.2028,1131,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010829,0.2028,0.2028,0.2028,0.2028,0,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010830,0.206,0.2068,0.1988,0.1988,1886,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010903,0.2052,0.206,0.1972,0.202,2514,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010904,0.1972,0.2044,0.1964,0.2044,6161,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010905,0.2052,0.2068,0.1988,0.2028,1383,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010906,0.1988,0.1988,0.1988,0.1988,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010907,0.1988,0.2068,0.1988,0.2004,3017,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010910,0.1988,0.2004,0.198,0.1988,2766,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010911,0.1972,0.1988,0.1964,0.1964,9431,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010913,0.1829,0.1869,0.167,0.1861,9934,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010914,0.175,0.1821,0.1622,0.1654,11191,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010917,0.159,0.159,0.1463,0.1559,13329,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010918,0.1606,0.1638,0.1543,0.1559,11820,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010919,0.159,0.1622,0.159,0.1622,3520,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010920,0.1559,0.1606,0.1559,0.1606,3143,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010921,0.1551,0.163,0.1527,0.1543,10311,0
